id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5456,Guesthouse in Austin · ★4.84 · 1 bedroom · 2 beds · 1 bath,8028,Sylvia,,78702,30.26057,-97.73441,Entire home/apt,107,2,648,2023-06-04,3.73,1,341,45,
324480,Rental unit in Austin · 1 bedroom · 1 bed · 1 bath,1660476,Mark,,78705,30.29905,-97.73881,Entire home/apt,99,30,1,2022-09-20,0.11,2,363,1,
5769,Home in Austin · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,8186,Elizabeth,,78729,30.45697,-97.78422,Private room,42,1,285,2023-06-03,1.78,1,0,21,
325889,Home in Austin · ★4.75 · 5 bedrooms · 6 beds · 2 baths,1666874,Brian,,78704,30.24583,-97.75472,Entire home/apt,549,3,89,2023-05-29,0.65,1,343,22,
6413,Guesthouse in Austin · ★4.97 · Studio · 1 bed · 1 bath,13879,Todd,,78704,30.24885,-97.73587,Entire home/apt,109,30,122,2022-10-17,0.74,1,0,4,
6448,Guesthouse in Austin · ★4.97 · 1 bedroom · 2 beds · 1 bath,14156,Amy,,78704,30.26034,-97.76487,Entire home/apt,159,3,303,2023-05-16,2.12,1,107,23,
326172,Guesthouse in Austin · ★5.0 · 1 bedroom · 1 bed · 1 bath,1665442,Lionel,,78756,30.326650619506836,-97.74362182617188,Entire home/apt,98,30,23,2022-03-18,0.17,1,142,0,
8502,Guest suite in Austin · ★4.56 · 1 bedroom · 1 bed · 1 bath,25298,Karen,,78741,30.23466,-97.73682,Entire home/apt,48,4,51,2023-05-16,0.31,1,78,3,
13035,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 2 baths,50793,Molly,,78702,30.26098,-97.73072,Entire home/apt,136,30,17,2022-12-07,0.11,2,129,1,
329172,Home in Austin · ★5.0 · 3 bedrooms · 3 beds · 2 baths,1680871,Janet,,78746,30.30085,-97.80794,Entire home/apt,495,3,7,2022-08-07,0.05,1,352,1,
18258,Bungalow in Austin · ★5.0 · 3 bedrooms · 2 beds · 2 baths,39458,Billy,,78745,30.19756,-97.78754,Entire home/apt,107,3,9,2023-06-09,1.17,1,92,9,
329306,Home in Austin · ★4.84 · 1 bedroom · 1 bed · 1 shared bath,880571,Angel,,78702,30.27232,-97.72579,Private room,68,2,594,2023-05-18,4.34,5,64,47,
331549,Place to stay in Austin · 1 bedroom · 1 bed · 1 bath,1690383,Sandra,,78725,30.23911,-97.58625,Private room,100,2,0,,,1,0,0,
22828,Guesthouse in Austin · ★4.94 · 1 bedroom · 1 bed · 1 bath,56488,David,,78741,30.23614,-97.73225,Entire home/apt,65,29,50,2022-12-15,0.31,1,283,3,
333442,Home in Austin · ★4.84 · 5 bedrooms · 5 beds · 3 baths,1698318,Virginia,,78703,30.31267,-97.76641,Entire home/apt,339,3,170,2023-05-22,1.32,1,279,15,
22982,Guesthouse in Austin · ★4.91 · 2 bedrooms · 2 beds · 1 bath,89031,Gina,,78703,30.28074,-97.75381,Entire home/apt,225,1,166,2023-01-02,1.03,1,161,2,
25028,Bungalow in Austin · ★4.94 · 2 bedrooms · 2 beds · 1 bath,102862,Elana,,78757,30.33771,-97.73708,Entire home/apt,225,7,35,2021-07-28,0.22,2,143,0,
333815,Home in Austin · ★4.91 · 1 bedroom · 1 bed · 1.5 baths,372962,Kim,,78704,30.25381,-97.75262,Private room,102,2,169,2023-05-28,1.24,1,36,14,
37324,Home in Austin · ★4.87 · 1 bedroom · 1 bed · 1 bath,161189,Chris,,78727,30.42895,-97.68958,Private room,33,30,38,2020-02-29,0.39,1,283,0,
334616,Condo in Austin · 2 bedrooms · 2 beds · 1 bath,608539,D,,78741,30.24481,-97.72379,Entire home/apt,250,1,2,2013-03-17,0.01,1,0,0,
40285,Home in Austin · ★4.92 · 2 bedrooms · 2 beds · 2 baths,170787,Robbie,,78731,30.35123,-97.76207,Entire home/apt,450,2,38,2023-04-10,0.25,1,315,3,
335231,Home in Austin · 2 bedrooms · 2 beds · 1 bath,1665428,Krista,,78704,30.23841,-97.74402,Entire home/apt,145,28,1,2012-03-15,0.01,1,93,0,
47572,Home in Austin · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,215917,Belinda,,78758,30.37783,-97.70749,Private room,43,30,7,2022-11-16,0.14,1,253,1,
