hours_played_sitting,number_of_tables,vluntarily_put_money_into_pot,pot_preflop_raising,went_to_showdown,player_country,player_pro_y_n,player_prev_location,EVENT_TIMESTAMP,EVENT_LABEL
28.0,455.0,42.0,45.0,193.0,UK,No,Orlando,2023-07-24 08:50:55,legit
38.0,629.0,29.0,44.0,84.0,UK,No,Orlando,2023-07-24 08:51:25,legit
20.0,600.0,60.0,57.0,267.0,CAN,Yes,Tampa,2023-07-24 08:51:24,legit
18.0,606.0,47.0,68.0,318.0,RUS,Yes,Tampa,2023-07-24 08:51:21,legit
18.0,558.0,42.0,70.0,295.0,RUS,Yes,Tampa,2023-07-24 08:51:23,legit
29.0,513.0,38.0,35.0,222.0,UK,No,Tampa,2023-07-24 08:51:23,legit
29.0,567.0,42.0,69.0,288.0,RUS,No,Tampa,2023-07-24 08:50:53,fraud
16.0,491.0,42.0,57.0,366.0,RUS,Yes,Tampa,2023-07-24 08:50:42,legit
28.0,578.0,32.0,64.0,221.0,RUS,Yes,Tampa,2023-07-24 08:51:10,fraud
28.0,439.0,41.0,57.0,205.0,CAN,No,Orlando,2023-07-24 08:50:54,legit
36.0,595.0,31.0,37.0,133.0,CAN,No,Orlando,2023-07-24 08:50:44,legit
30.0,470.0,38.0,44.0,208.0,CAN,Yes,Jacksonville,2023-07-24 08:50:40,legit
30.0,472.0,42.0,45.0,224.0,UK,No,Orlando,2023-07-24 08:51:19,legit
21.0,441.0,35.0,65.0,361.0,RUS,No,Tampa,2023-07-24 08:51:04,legit
27.0,464.0,44.0,71.0,202.0,RUS,Yes,Tampa,2023-07-24 08:51:09,fraud
14.0,502.0,38.0,39.0,203.0,RUS,No,Tampa,2023-07-24 08:50:57,fraud
37.0,548.0,32.0,40.0,163.0,CAN,Yes,Orlando,2023-07-24 08:51:09,legit
23.0,409.0,22.0,80.0,400.0,USA,Yes,Key West,2023-07-24 08:51:19,legit
29.0,459.0,39.0,45.0,233.0,CAN,No,Orlando,2023-07-24 08:51:01,legit
18.0,413.0,35.0,36.0,414.0,RUS,Yes,Tampa,2023-07-24 08:51:31,legit
35.0,498.0,43.0,48.0,213.0,CAN,No,Orlando,2023-07-24 08:51:10,legit
20.0,349.0,44.0,63.0,305.0,CAN,Yes,Key West,2023-07-24 08:51:17,legit
33.0,467.0,45.0,62.0,173.0,RUS,No,Tampa,2023-07-24 08:51:37,fraud
23.0,488.0,37.0,44.0,239.0,RUS,No,Tampa,2023-07-24 08:51:32,fraud
13.0,484.0,30.0,65.0,374.0,RUS,No,Key West,2023-07-24 08:51:26,legit
29.0,459.0,46.0,33.0,292.0,CAN,No,Tampa,2023-07-24 08:51:15,legit
27.0,571.0,42.0,70.0,366.0,RUS,No,Key West,2023-07-24 08:50:38,legit
34.0,421.0,47.0,59.0,178.0,CAN,No,Jacksonville,2023-07-24 08:51:34,legit
21.0,577.0,46.0,65.0,367.0,RUS,Yes,Tampa,2023-07-24 08:50:44,legit
19.0,480.0,28.0,66.0,311.0,RUS,No,Key West,2023-07-24 08:51:04,legit
19.0,378.0,26.0,57.0,419.0,RUS,Yes,Tampa,2023-07-24 08:50:50,legit
38.0,596.0,31.0,41.0,124.0,CAN,Yes,Orlando,2023-07-24 08:51:37,legit
16.0,466.0,43.0,55.0,378.0,RUS,Yes,Tampa,2023-07-24 08:50:49,legit
32.0,529.0,39.0,43.0,200.0,CAN,No,Tampa,2023-07-24 08:51:02,legit
26.0,528.0,37.0,42.0,249.0,CAN,No,Tampa,2023-07-24 08:51:04,legit
26.0,487.0,38.0,25.0,266.0,UK,Yes,Tampa,2023-07-24 08:50:46,legit
24.0,581.0,28.0,41.0,375.0,RUS,No,Key West,2023-07-24 08:51:01,fraud
29.0,408.0,44.0,37.0,262.0,CAN,Yes,Orlando,2023-07-24 08:51:06,legit
23.0,462.0,49.0,44.0,171.0,RUS,No,Tampa,2023-07-24 08:50:47,fraud
24.0,499.0,38.0,54.0,267.0,CAN,No,Orlando,2023-07-24 08:50:40,legit
37.0,661.0,26.0,32.0,140.0,CAN,Yes,Orlando,2023-07-24 08:50:45,legit
31.0,437.0,44.0,54.0,210.0,RUS,No,Tampa,2023-07-24 08:51:33,fraud
18.0,452.0,32.0,59.0,394.0,RUS,Yes,Tampa,2023-07-24 08:51:02,legit
30.0,382.0,49.0,54.0,265.0,CAN,Yes,Orlando,2023-07-24 08:51:28,legit
18.0,489.0,37.0,76.0,379.0,RUS,Yes,Tampa,2023-07-24 08:51:22,legit
28.0,443.0,41.0,33.0,264.0,CAN,Yes,Orlando,2023-07-24 08:51:30,legit
23.0,558.0,37.0,61.0,363.0,RUS,Yes,Tampa,2023-07-24 08:50:58,legit
25.0,393.0,32.0,62.0,470.0,USA,Yes,Tampa,2023-07-24 08:50:40,legit
18.0,497.0,47.0,63.0,312.0,RUS,Yes,Tampa,2023-07-24 08:51:20,legit
23.0,324.0,49.0,60.0,293.0,CAN,Yes,Orlando,2023-07-24 08:51:24,legit
17.0,569.0,30.0,75.0,380.0,RUS,Yes,Tampa,2023-07-24 08:51:03,legit
19.0,582.0,51.0,54.0,329.0,CAN,Yes,Tampa,2023-07-24 08:50:37,legit
40.0,615.0,31.0,35.0,168.0,RUS,Yes,Orlando,2023-07-24 08:50:57,legit
13.0,389.0,32.0,64.0,375.0,RUS,Yes,Tampa,2023-07-24 08:51:00,legit
29.0,584.0,26.0,40.0,142.0,CAN,Yes,Orlando,2023-07-24 08:50:37,legit
22.0,536.0,49.0,74.0,311.0,RUS,Yes,Tampa,2023-07-24 08:51:36,legit
34.0,405.0,46.0,45.0,213.0,CAN,Yes,Orlando,2023-07-24 08:50:42,legit
19.0,507.0,46.0,63.0,322.0,CAN,Yes,Tampa,2023-07-24 08:51:17,legit
31.0,565.0,34.0,34.0,199.0,CAN,No,Tampa,2023-07-24 08:51:14,legit
16.0,412.0,41.0,55.0,375.0,RUS,Yes,Tampa,2023-07-24 08:51:27,legit
37.0,556.0,34.0,23.0,178.0,CAN,Yes,Orlando,2023-07-24 08:51:22,legit
32.0,552.0,29.0,37.0,190.0,CAN,Yes,Orlando,2023-07-24 08:51:09,legit
24.0,375.0,28.0,71.0,376.0,RUS,Yes,Orlando,2023-07-24 08:51:14,legit
25.0,419.0,42.0,57.0,342.0,RUS,No,Miami,2023-07-24 08:50:53,legit
17.0,647.0,54.0,58.0,322.0,CAN,Yes,Orlando,2023-07-24 08:50:46,legit
41.0,320.0,37.0,62.0,218.0,RUS,No,Tampa,2023-07-24 08:51:05,fraud
18.0,413.0,42.0,60.0,314.0,RUS,Yes,Key West,2023-07-24 08:51:07,legit
16.0,519.0,51.0,59.0,319.0,CAN,No,Tampa,2023-07-24 08:51:21,legit
31.0,567.0,31.0,28.0,267.0,RUS,Yes,Orlando,2023-07-24 08:50:39,legit
18.0,398.0,31.0,61.0,405.0,RUS,Yes,Key West,2023-07-24 08:51:30,legit
38.0,658.0,32.0,58.0,93.0,RUS,Yes,Tampa,2023-07-24 08:51:22,fraud
19.0,516.0,19.0,45.0,119.0,RUS,No,Key West,2023-07-24 08:51:27,fraud
30.0,585.0,31.0,34.0,203.0,UK,No,Tampa,2023-07-24 08:50:54,legit
20.0,491.0,47.0,51.0,313.0,CAN,No,Key West,2023-07-24 08:51:12,legit
25.0,663.0,45.0,56.0,352.0,RUS,No,Tampa,2023-07-24 08:50:43,legit
17.0,422.0,39.0,63.0,333.0,RUS,No,Key West,2023-07-24 08:50:51,legit
26.0,586.0,30.0,28.0,262.0,CAN,Yes,Tampa,2023-07-24 08:50:42,legit
32.0,429.0,28.0,60.0,203.0,RUS,No,Key West,2023-07-24 08:51:02,fraud
24.0,428.0,36.0,61.0,372.0,RUS,No,Key West,2023-07-24 08:51:13,legit
19.0,415.0,34.0,55.0,326.0,RUS,No,Key West,2023-07-24 08:51:25,legit
23.0,408.0,42.0,50.0,257.0,CAN,Yes,Orlando,2023-07-24 08:51:04,legit
22.0,574.0,49.0,57.0,323.0,RUS,Yes,Key West,2023-07-24 08:51:13,legit
11.0,487.0,53.0,42.0,172.0,CAN,No,Tampa,2023-07-24 08:51:18,fraud
34.0,534.0,38.0,38.0,177.0,CAN,No,Orlando,2023-07-24 08:51:32,legit
28.0,459.0,43.0,46.0,228.0,CAN,No,Tampa,2023-07-24 08:50:56,legit
25.0,688.0,48.0,78.0,306.0,RUS,No,Key West,2023-07-24 08:51:01,legit
16.0,473.0,29.0,67.0,396.0,RUS,Yes,Tampa,2023-07-24 08:51:09,legit
29.0,334.0,51.0,55.0,263.0,CAN,No,Orlando,2023-07-24 08:51:01,legit
36.0,580.0,32.0,25.0,164.0,CAN,Yes,Tampa,2023-07-24 08:50:48,legit
18.0,497.0,48.0,62.0,346.0,RUS,Yes,Tampa,2023-07-24 08:50:52,legit
33.0,581.0,32.0,38.0,194.0,CAN,Yes,Tampa,2023-07-24 08:51:19,legit
27.0,697.0,22.0,79.0,113.0,USA,Yes,Key West,2023-07-24 08:50:39,fraud
12.0,397.0,19.0,71.0,388.0,RUS,No,Miami,2023-07-24 08:51:30,legit
31.0,487.0,33.0,70.0,259.0,RUS,Yes,Tampa,2023-07-24 08:50:56,fraud
25.0,537.0,30.0,47.0,198.0,RUS,No,Key West,2023-07-24 08:51:03,fraud
23.0,474.0,40.0,42.0,231.0,UK,No,Tampa,2023-07-24 08:51:14,legit
29.0,485.0,40.0,45.0,213.0,UK,No,Orlando,2023-07-24 08:51:03,legit
20.0,464.0,35.0,47.0,429.0,RUS,No,Key West,2023-07-24 08:51:01,legit
28.0,605.0,34.0,32.0,212.0,UK,No,Tampa,2023-07-24 08:51:32,legit
34.0,559.0,34.0,34.0,149.0,CAN,No,Tampa,2023-07-24 08:50:52,legit
22.0,521.0,26.0,70.0,353.0,RUS,Yes,Key West,2023-07-24 08:51:25,legit
18.0,724.0,52.0,63.0,314.0,CAN,Yes,Tampa,2023-07-24 08:50:46,legit
27.0,533.0,34.0,66.0,384.0,RUS,No,Key West,2023-07-24 08:50:50,legit
37.0,551.0,34.0,38.0,166.0,CAN,Yes,Orlando,2023-07-24 08:50:53,legit
40.0,636.0,29.0,41.0,97.0,CAN,No,Orlando,2023-07-24 08:50:53,legit
20.0,374.0,25.0,70.0,348.0,RUS,Yes,Key West,2023-07-24 08:51:21,legit
28.0,583.0,54.0,64.0,299.0,RUS,Yes,Tampa,2023-07-24 08:51:16,legit
19.0,401.0,31.0,59.0,369.0,RUS,No,Tampa,2023-07-24 08:50:59,legit
13.0,461.0,16.0,75.0,398.0,RUS,No,Key West,2023-07-24 08:51:20,legit
16.0,518.0,38.0,68.0,325.0,RUS,Yes,Key West,2023-07-24 08:50:48,legit
32.0,469.0,41.0,46.0,185.0,CAN,Yes,Orlando,2023-07-24 08:50:48,legit
24.0,538.0,39.0,71.0,323.0,RUS,Yes,Tampa,2023-07-24 08:51:18,legit
30.0,402.0,42.0,53.0,193.0,CAN,Yes,Jacksonville,2023-07-24 08:51:31,legit
35.0,569.0,35.0,47.0,155.0,CAN,No,Tampa,2023-07-24 08:50:58,legit
32.0,476.0,39.0,46.0,225.0,RUS,Yes,Orlando,2023-07-24 08:51:02,legit
15.0,418.0,37.0,52.0,355.0,RUS,Yes,Tampa,2023-07-24 08:50:52,legit
21.0,535.0,44.0,67.0,321.0,RUS,Yes,Tampa,2023-07-24 08:51:15,legit
24.0,488.0,34.0,29.0,285.0,RUS,Yes,Orlando,2023-07-24 08:50:44,legit
19.0,700.0,32.0,47.0,224.0,RUS,No,Key West,2023-07-24 08:51:32,fraud
28.0,331.0,49.0,66.0,246.0,CAN,No,Jacksonville,2023-07-24 08:50:56,legit
21.0,551.0,36.0,63.0,417.0,RUS,Yes,Orlando,2023-07-24 08:51:25,legit
19.0,695.0,52.0,73.0,365.0,RUS,Yes,Tampa,2023-07-24 08:51:09,legit
32.0,552.0,33.0,24.0,205.0,CAN,Yes,Orlando,2023-07-24 08:51:00,legit
27.0,406.0,36.0,67.0,251.0,RUS,Yes,Tampa,2023-07-24 08:51:32,fraud
24.0,638.0,38.0,76.0,326.0,RUS,No,Key West,2023-07-24 08:51:01,legit
22.0,597.0,33.0,63.0,355.0,RUS,No,Key West,2023-07-24 08:51:16,legit
22.0,499.0,37.0,62.0,431.0,USA,Yes,Tampa,2023-07-24 08:51:26,legit
34.0,493.0,25.0,50.0,136.0,RUS,Yes,Miami,2023-07-24 08:50:56,fraud
17.0,586.0,48.0,63.0,323.0,RUS,Yes,Key West,2023-07-24 08:51:14,legit
23.0,438.0,65.0,53.0,309.0,CAN,No,Orlando,2023-07-24 08:51:19,fraud
34.0,593.0,31.0,42.0,135.0,UK,No,Orlando,2023-07-24 08:51:03,legit
25.0,444.0,38.0,59.0,226.0,CAN,No,Orlando,2023-07-24 08:50:56,legit
32.0,464.0,43.0,53.0,212.0,CAN,No,Jacksonville,2023-07-24 08:51:07,legit
39.0,510.0,42.0,35.0,156.0,CAN,Yes,Orlando,2023-07-24 08:51:07,legit
11.0,385.0,28.0,62.0,344.0,CAN,Yes,Orlando,2023-07-24 08:51:32,legit
31.0,488.0,42.0,42.0,231.0,CAN,No,Orlando,2023-07-24 08:51:19,legit
27.0,516.0,36.0,39.0,255.0,CAN,No,Tampa,2023-07-24 08:50:59,legit
19.0,559.0,38.0,59.0,391.0,RUS,No,Tampa,2023-07-24 08:51:13,legit
20.0,534.0,41.0,72.0,319.0,RUS,No,Key West,2023-07-24 08:51:01,legit
27.0,457.0,43.0,48.0,243.0,CAN,No,Orlando,2023-07-24 08:51:35,legit
23.0,615.0,17.0,44.0,230.0,RUS,No,Key West,2023-07-24 08:50:41,fraud
34.0,485.0,40.0,41.0,215.0,RUS,Yes,Orlando,2023-07-24 08:51:08,legit
23.0,441.0,30.0,65.0,374.0,RUS,No,Tampa,2023-07-24 08:51:24,legit
20.0,437.0,18.0,73.0,372.0,RUS,No,Key West,2023-07-24 08:50:51,legit
13.0,568.0,51.0,62.0,306.0,CAN,Yes,Orlando,2023-07-24 08:51:27,legit
21.0,687.0,35.0,71.0,361.0,RUS,No,Key West,2023-07-24 08:50:55,legit
19.0,524.0,30.0,74.0,407.0,RUS,No,Tampa,2023-07-24 08:50:37,legit
39.0,484.0,26.0,57.0,202.0,RUS,Yes,Key West,2023-07-24 08:50:53,fraud
31.0,573.0,31.0,32.0,211.0,CAN,Yes,Orlando,2023-07-24 08:51:27,legit
15.0,326.0,23.0,60.0,364.0,RUS,Yes,Key West,2023-07-24 08:51:25,fraud
18.0,539.0,36.0,59.0,331.0,RUS,No,Key West,2023-07-24 08:51:01,legit
32.0,358.0,62.0,47.0,243.0,CAN,No,Tampa,2023-07-24 08:51:10,fraud
35.0,410.0,47.0,71.0,185.0,RUS,No,Jacksonville,2023-07-24 08:51:24,legit
28.0,516.0,43.0,36.0,251.0,UK,No,Tampa,2023-07-24 08:50:57,legit
35.0,579.0,27.0,33.0,145.0,RUS,Yes,Orlando,2023-07-24 08:51:26,legit
12.0,572.0,38.0,74.0,364.0,RUS,No,Tampa,2023-07-24 08:51:24,legit
20.0,589.0,41.0,68.0,386.0,RUS,Yes,Tampa,2023-07-24 08:51:37,legit
16.0,496.0,29.0,57.0,369.0,RUS,No,Key West,2023-07-24 08:50:47,legit
15.0,422.0,34.0,52.0,412.0,RUS,Yes,Tampa,2023-07-24 08:51:18,legit
27.0,370.0,52.0,61.0,302.0,CAN,No,Tampa,2023-07-24 08:50:56,fraud
14.0,348.0,33.0,62.0,359.0,RUS,Yes,Key West,2023-07-24 08:51:27,legit
19.0,697.0,49.0,59.0,313.0,RUS,Yes,Key West,2023-07-24 08:51:09,legit
16.0,710.0,26.0,39.0,222.0,RUS,No,Key West,2023-07-24 08:51:22,fraud
21.0,333.0,37.0,56.0,398.0,RUS,No,Tampa,2023-07-24 08:51:22,legit
28.0,345.0,52.0,52.0,244.0,CAN,No,Orlando,2023-07-24 08:50:49,fraud
25.0,485.0,36.0,34.0,290.0,CAN,Yes,Orlando,2023-07-24 08:50:42,legit
31.0,536.0,36.0,39.0,187.0,CAN,Yes,Orlando,2023-07-24 08:50:47,legit
20.0,517.0,21.0,69.0,393.0,RUS,No,Key West,2023-07-24 08:50:46,legit
29.0,500.0,36.0,47.0,260.0,CAN,Yes,Orlando,2023-07-24 08:51:21,legit
33.0,592.0,55.0,53.0,295.0,CAN,Yes,Tampa,2023-07-24 08:50:48,fraud
37.0,482.0,43.0,49.0,197.0,CAN,No,Orlando,2023-07-24 08:50:47,legit
18.0,408.0,37.0,55.0,354.0,RUS,Yes,Tampa,2023-07-24 08:51:27,legit
32.0,567.0,34.0,45.0,134.0,CAN,No,Orlando,2023-07-24 08:50:42,legit
27.0,350.0,47.0,29.0,305.0,CAN,Yes,Orlando,2023-07-24 08:51:32,legit
21.0,374.0,41.0,52.0,317.0,RUS,Yes,Jacksonville,2023-07-24 08:50:52,legit
31.0,463.0,39.0,41.0,237.0,RUS,Yes,Orlando,2023-07-24 08:50:56,legit
31.0,483.0,42.0,48.0,242.0,CAN,No,Tampa,2023-07-24 08:51:26,legit
17.0,549.0,37.0,83.0,348.0,RUS,No,Key West,2023-07-24 08:50:38,legit
30.0,443.0,49.0,53.0,225.0,CAN,No,Orlando,2023-07-24 08:51:13,legit
38.0,586.0,29.0,39.0,118.0,CAN,Yes,Jacksonville,2023-07-24 08:51:13,legit
28.0,561.0,30.0,32.0,219.0,CAN,Yes,Orlando,2023-07-24 08:51:13,legit
26.0,521.0,41.0,57.0,405.0,RUS,No,Tampa,2023-07-24 08:50:53,legit
15.0,535.0,29.0,65.0,418.0,USA,No,Key West,2023-07-24 08:51:18,legit
31.0,514.0,40.0,56.0,100.0,RUS,No,Tampa,2023-07-24 08:50:59,fraud
32.0,602.0,31.0,39.0,184.0,CAN,No,Orlando,2023-07-24 08:51:30,legit
30.0,506.0,38.0,32.0,230.0,CAN,Yes,Tampa,2023-07-24 08:51:37,legit
19.0,527.0,46.0,62.0,308.0,CAN,Yes,Tampa,2023-07-24 08:50:55,legit
31.0,478.0,41.0,41.0,255.0,CAN,Yes,Orlando,2023-07-24 08:50:40,legit
28.0,363.0,52.0,72.0,242.0,CAN,No,Tampa,2023-07-24 08:51:08,fraud
21.0,410.0,33.0,62.0,354.0,RUS,No,Key West,2023-07-24 08:50:52,legit
26.0,437.0,44.0,55.0,206.0,UK,No,Orlando,2023-07-24 08:50:42,legit
22.0,470.0,49.0,59.0,308.0,CAN,Yes,Tampa,2023-07-24 08:50:37,legit
20.0,504.0,36.0,61.0,357.0,RUS,No,Tampa,2023-07-24 08:51:32,legit
24.0,261.0,56.0,57.0,301.0,CAN,Yes,Orlando,2023-07-24 08:50:55,legit
22.0,586.0,56.0,55.0,339.0,RUS,Yes,Tampa,2023-07-24 08:50:57,legit
30.0,389.0,46.0,56.0,244.0,CAN,Yes,Orlando,2023-07-24 08:51:14,legit
24.0,487.0,36.0,50.0,220.0,UK,No,Orlando,2023-07-24 08:50:55,legit
16.0,478.0,36.0,80.0,329.0,RUS,Yes,Key West,2023-07-24 08:50:49,legit
15.0,526.0,50.0,60.0,287.0,CAN,Yes,Tampa,2023-07-24 08:51:21,legit
31.0,545.0,38.0,30.0,245.0,CAN,No,Tampa,2023-07-24 08:51:29,legit
32.0,522.0,32.0,34.0,228.0,RUS,Yes,Orlando,2023-07-24 08:51:07,legit
36.0,540.0,32.0,32.0,155.0,RUS,Yes,Orlando,2023-07-24 08:51:37,legit
16.0,385.0,22.0,67.0,366.0,RUS,No,Key West,2023-07-24 08:50:44,legit
28.0,450.0,42.0,45.0,236.0,CAN,Yes,Orlando,2023-07-24 08:50:42,legit
19.0,785.0,59.0,60.0,286.0,CAN,No,Key West,2023-07-24 08:51:25,legit
19.0,598.0,59.0,59.0,285.0,CAN,Yes,Tampa,2023-07-24 08:51:01,legit
33.0,526.0,36.0,31.0,205.0,CAN,Yes,Orlando,2023-07-24 08:51:07,legit
17.0,339.0,28.0,36.0,416.0,RUS,No,Key West,2023-07-24 08:51:28,legit
23.0,350.0,28.0,54.0,462.0,USA,Yes,Tampa,2023-07-24 08:50:45,legit
16.0,554.0,25.0,36.0,209.0,RUS,No,Key West,2023-07-24 08:51:12,legit
31.0,498.0,35.0,44.0,216.0,CAN,Yes,Jacksonville,2023-07-24 08:51:24,legit
26.0,630.0,46.0,74.0,335.0,RUS,Yes,Tampa,2023-07-24 08:51:09,legit
25.0,388.0,43.0,38.0,301.0,RUS,Yes,Orlando,2023-07-24 08:50:58,legit
23.0,432.0,39.0,35.0,312.0,CAN,Yes,Orlando,2023-07-24 08:50:46,legit
19.0,576.0,44.0,70.0,320.0,CAN,No,Tampa,2023-07-24 08:50:41,legit
41.0,694.0,30.0,75.0,166.0,RUS,Yes,Tampa,2023-07-24 08:51:33,fraud
28.0,484.0,35.0,35.0,246.0,CAN,Yes,Orlando,2023-07-24 08:51:26,legit
22.0,636.0,41.0,72.0,332.0,RUS,No,Key West,2023-07-24 08:51:27,legit
23.0,541.0,33.0,68.0,352.0,RUS,No,Key West,2023-07-24 08:51:12,legit
22.0,335.0,32.0,53.0,390.0,RUS,Yes,Tampa,2023-07-24 08:51:36,fraud
35.0,412.0,44.0,55.0,175.0,RUS,Yes,Orlando,2023-07-24 08:50:52,legit
