created_at,text
Wed Aug 02 01:30:13 +0000 2023,"The sheriff of Fulton County, Georgia, said that if Donald Trump were to be indicted in connection with efforts to… https://t.co/whmTK3hves"
Wed Aug 02 01:20:06 +0000 2023,RT @ShaneGoldmacher: Never Back Down raised $48 million from donors — besides the transfer from DeSantis's state committee — and spent $33.…
Wed Aug 02 01:10:06 +0000 2023,"Several news organizations fell for a hoax on Tuesday that claimed that all Mattel toys, including the Barbie doll,… https://t.co/KpDFAVNQl1"
Wed Aug 02 01:00:11 +0000 2023,The Justice Department unveiled an indictment on Tuesday charging Donald Trump with four criminal counts. They rela… https://t.co/N8JiSv8s5T
Wed Aug 02 00:50:03 +0000 2023,"RT @gettinviggy: A key figure in a multistate effort to overturn the 2020 election, Matthew DePerno lost his race for Michigan attorney gen…"
Wed Aug 02 00:40:01 +0000 2023,"Fran Drescher, president of SAG-AFTRA, the union representing more than 150,000 television and movie actors, addres… https://t.co/5CQ61wHm8k"
Wed Aug 02 00:30:25 +0000 2023,"Donald Trump was charged with four counts in connection with his efforts to overturn the 2020 election. 

Follow ou… https://t.co/OsktuxNIl5"
Wed Aug 02 00:20:07 +0000 2023,RT @maggieNYT: More Republicans say Trump committed crimes. But they still support him. https://t.co/lYVqKOKIq6
Wed Aug 02 00:10:02 +0000 2023,"The long-term credit rating of the U.S. was downgraded on Tuesday by the Fitch Ratings agency, which said that the… https://t.co/Grsbdz1pzg"
Wed Aug 02 00:00:02 +0000 2023,"The latest indictment of Donald Trump mentions, without names, six people who prosecutors say helped in seeking to… https://t.co/QujMn9ygp2"
Tue Aug 01 23:50:05 +0000 2023,"RT @dougmillsnyt: Special Counsel Jack Smith after announcing the indictment of former U.S. President Donald Trump, in Washington, D.C http…"
Tue Aug 01 23:40:08 +0000 2023,"""Fantastic and simple."" This classic Senegalese sauce is great for tempering the smoky char of grilled chicken or s… https://t.co/bqixy2YP2P"
Tue Aug 01 23:30:06 +0000 2023,"RT @peterbakernyt: As serious as hush money and classified documents may be, this third indictment in four months finally gets to the heart…"
Tue Aug 01 23:20:13 +0000 2023,"Jack Smith, the special counsel overseeing the investigation, filed charges against Donald Trump in connection with… https://t.co/onacHkFhBG"
Tue Aug 01 23:00:06 +0000 2023,RT @maggieNYT: Our first cut on the indictment accusing Trump of conspiracies to stay in office @alanfeuer me https://t.co/uJdpVIDIse
Tue Aug 01 22:40:06 +0000 2023,State and federal prosecutors are pursuing multiple investigations into Donald Trump’s business and political activ… https://t.co/KCiToCQufV
Tue Aug 01 22:06:21 +0000 2023,Read the full indictment here. https://t.co/tVpjVCvC6F
Tue Aug 01 22:00:14 +0000 2023,"There’s no shortage of balms, candles, sprays, lotions, gadgets and gear designed to keep mosquitos away.… https://t.co/Ax3dMdGif2"
Tue Aug 01 21:51:19 +0000 2023,Breaking News: Federal prosecutors charged Donald Trump in connection with his efforts to overturn the 2020 electio… https://t.co/xTl84uoxsA
Tue Aug 01 21:40:04 +0000 2023,From @TheAthleticFC: The U.S. survived the group stage of the World Cup. But its problems run deep. https://t.co/2nkbROHE5i
Tue Aug 01 21:36:29 +0000 2023,Correction: An earlier version of this tweet misstated who the U.S. played in the Women's World Cup on Tuesday. The… https://t.co/AwmTD6XYWf
Tue Aug 01 21:35:34 +0000 2023,"The U.S. played Portugal to a draw, 0-0, in the Women's World Cup on Tuesday.

Now it’s off to the round of 16 in M… https://t.co/ZkHy0ddg1d"
Tue Aug 01 21:10:05 +0000 2023,A building in central Moscow housing government offices was struck by a drone on Tuesday for the second time in 48… https://t.co/huG0ZGps1v
Tue Aug 01 21:05:03 +0000 2023,"The federal charges facing Donald Trump seem to have cost him few, if any, votes in the 2024 election, according to… https://t.co/BcoIhjxRp2"
Tue Aug 01 21:00:10 +0000 2023,A group of women who work together as sanitation laborers in India pooled their money to buy a lottery ticket in Ju… https://t.co/ZdaKMPdp2e
Tue Aug 01 20:50:02 +0000 2023,Senator Bob Menendez of New Jersey is under investigation by the Justice Department for the second time in less tha… https://t.co/x2kMcSZPWU
Tue Aug 01 20:45:05 +0000 2023,"In Opinion

They were barely adults when they were sentenced. Many are elderly; they have not seen the outside worl… https://t.co/nmZbabxaID"
Tue Aug 01 20:40:26 +0000 2023,From @TheAthletic: The Yankees built a team with high-priced and often injured veterans. They can't keep pointing t… https://t.co/RuaSQjlH4C
Tue Aug 01 20:21:55 +0000 2023,"Breaking News: Matthew DePerno, a key figure in efforts to overturn the 2020 election in Michigan, was arraigned on… https://t.co/hBTsymakth"
Tue Aug 01 20:20:08 +0000 2023,At least seven Republican candidates appear to have qualified so far for the party's first presidential debate this… https://t.co/bn5JAOtHfL
Tue Aug 01 20:10:04 +0000 2023,"To find the best white sneakers, @Wirecutter testers considered 79 pairs and wore 22 of them. They found five class… https://t.co/dKIF3eVlW6"
Tue Aug 01 20:00:06 +0000 2023,"Here’s what you need to know if you test positive for Covid, according to physicians and infectious disease experts. https://t.co/LWc9qgYc5B"
Tue Aug 01 19:55:05 +0000 2023,"After 55 years at Sardi’s, “Joe” Petrsoric is ready to do last call for good. The bartender at Broadway’s go-to sal… https://t.co/F9UQQ9KL9v"
Tue Aug 01 19:45:06 +0000 2023,"A video of a bear standing in Hangzhou, China, swept through social media with conspiracy theories it was a human i… https://t.co/UzG9bmXiPw"
Tue Aug 01 19:40:07 +0000 2023,From @TheAthletic: Michigan players don't care about star rankings. They believe they have the talent to win a nati… https://t.co/aWeQhrW7zO
