PID,ZIPCODE,OWN_OCC,AV_TOTAL,LAND_SF,YR_BUILT,YR_REMOD,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_KITCH,R_KITCH_STYLE,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW
1812296230,2136,Y,321200,10288,1992,0,1681,1,R,RR,G,M,6,3,2,0,S,1,S,W,N,0,A,A,A,N,A
2006736000,2132,Y,894400,10148,1900,2016,3024,2.5,R,CL,H,F,8,5,2,1,M,1,M,F,N,2,G,G,G,N,G
2009442000,2132,Y,387700,8512,1920,0,1160,2,R,CL,G,M,5,3,1,1,S,1,S,W,N,0,A,A,A,N,A
1704953000,2124,Y,450500,3187,1900,2001,1868,2,R,CL,M,W,7,4,1,1,M,1,M,W,N,0,G,G,A,N,F
1812269079,2136,Y,325100,10088,1971,1975,1534,1,R,RR,G,W,7,3,1,1,S,2,S,E,N,2,A,A,A,N,G
2011986000,2132,Y,408800,3500,1960,1987,1632,2,R,CL,G,M,6,3,2,0,S,1,S,W,N,1,A,G,G,N,A
1902260006,2130,Y,794300,6007,1962,2001,2146,2,R,CL,G,M,8,3,2,1,S,1,S,W,N,2,G,G,G,N,A
1807363000,2136,Y,342100,5500,1949,2002,1357,1.5,R,CP,G,M,6,3,1,1,S,1,S,F,N,1,G,A,A,N,A
1601441000,2124,Y,444700,3026,1900,0,2346,2.5,R,CL,L,M,10,6,1,1,M,1,M,F,N,0,A,A,A,N,A
2004674000,2131,Y,518500,4950,1900,2012,2032,2,R,CL,G,A,8,4,2,1,M,1,M,W,N,0,A,A,A,N,A
2008377000,2132,Y,467200,7500,1887,0,1648,2,R,CL,G,M,7,3,1,1,S,1,S,W,N,1,A,A,A,N,A
1805011001,2131,Y,432600,5000,1910,0,1772,2,R,CL,G,A,6,3,1,1,S,1,S,W,N,0,A,A,A,N,A
